periodo,departamento,provider,download_speed,upload_speed,latency,jitter,AvgPack
2018-01,Antioquia,All Providers Combined,14.973279117049085,5.938135347081034,44.21841417368574,22.67905896020912,0.0
2018-01,Antioquia,Avantel,17.594819089900106,5.544467258601554,34.755826859045506,38.235849056603776,0.0
2018-01,Antioquia,Claro,17.40020106761566,6.834794483985766,64.93594306049822,17.72924080664294,0.0
2018-01,Antioquia,Movistar,13.358736842105262,6.108960717009917,47.247520976353925,0.0,0.0
2018-01,Antioquia,Tigo,13.71335512094699,6.116505575570424,35.239492194201404,32.58174644021273,0.0
2018-01,Arauca,All Providers Combined,8.631578947368421,3.142105263157895,70.64736842105263,79.36315789473684,0.0
2018-01,Arauca,Avantel,3.2497499999999997,0.38974999999999993,63.75,101.75,0.0
2018-01,Arauca,Claro,6.902380000000001,3.0503899999999997,89.9,141.19,0.0
2018-01,Arauca,Movistar,12.786195121951218,4.9387439024390245,71.8048780487805,34.829268292682926,0.0
2018-01,Atlantico,All Providers Combined,18.013588026782198,8.695746356833398,51.98779046868846,16.313706183536826,0.0
2018-01,Atlantico,Avantel,13.125429752066115,6.8628911845730025,48.53719008264463,17.077134986225897,0.0
2018-01,Atlantico,Claro,22.125302178496135,9.110160224877022,64.31763879128602,10.668306394940267,0.0
2018-01,Atlantico,Movistar,20.08083160621761,8.882331606217617,60.62823834196891,17.1139896373057,0.0
2018-01,Atlantico,Tigo,16.139573514602212,8.681385196374622,33.754783484390735,24.86807653575025,0.0
2018-01,Bogota,All Providers Combined,16.627246883883664,8.008200306144763,30.313645309424885,15.251213645309425,0.0
2018-01,Bogota,Avantel,19.396213885846418,7.019667031763417,22.245831812096874,18.50638919313618,0.0
2018-01,Bogota,Claro,17.04578008815638,7.8707017056343425,58.74616711383672,10.524243004982752,0.0
2018-01,Bogota,Movistar,14.140564787183916,6.9740761740223025,30.666247840427204,15.92115596042092,0.0
2018-01,Bogota,Tigo,15.109419895076673,9.741150121065374,27.05225988700565,24.31809927360775,0.0
2018-01,Bolivar,All Providers Combined,13.662964381463041,6.621217924166986,64.32363079279969,29.347376484105705,0.0
2018-01,Bolivar,Avantel,12.473749999999997,5.546882653061225,44.16326530612245,29.443877551020407,0.0
2018-01,Bolivar,Claro,18.543025034770515,7.7467218358831715,76.884561891516,17.816411682892905,0.0
2018-01,Bolivar,Movistar,12.208179180887372,6.139897610921501,70.69283276450511,0.0,0.0
2018-01,Bolivar,Tigo,11.884359848484845,7.4770359848484835,45.978219696969695,53.072916666666664,0.0
2018-01,Boyaca,All Providers Combined,10.683143845773603,4.752842313395947,57.86653484923381,0.0,0.0
2018-01,Boyaca,Avantel,4.20919827586207,2.1478620689655172,90.78448275862068,209.0344827586207,0.0
2018-01,Boyaca,Claro,16.519883720930228,7.270044850498337,69.03820598006645,31.893687707641195,0.0
2018-01,Boyaca,Movistar,8.629202341137121,4.219344481605351,51.77090301003344,0.0,0.0
2018-01,Boyaca,Tigo,8.280461049284579,4.279209856915739,83.97138314785374,93.15580286168522,0.0
2018-01,Caldas,All Providers Combined,14.780023781212842,6.766944114149822,53.962544589774076,29.44411414982164,0.0
2018-01,Caldas,Avantel,11.449022727272727,4.256386363636364,57.79545454545455,64.27272727272727,0.0
2018-01,Caldas,Claro,14.846557844690967,6.404641838351822,71.41521394611728,39.69255150554675,0.0
2018-01,Caldas,Movistar,17.698756249999995,10.070843750000002,52.21875,0.0,0.0
2018-01,Caldas,Tigo,14.918109589041098,7.236659246575344,39.82705479452055,28.666095890410958,0.0
2018-01,Caquetá,All Providers Combined,14.539370078740157,6.988188976377953,71.89763779527559,18.488188976377952,0.0
2018-01,Caquetá,Avantel,29.718235294117648,6.40235294117647,53.8235294117647,29.11764705882353,0.0
2018-01,Caquetá,Claro,13.763764150943393,8.386877358490567,76.35849056603773,26.70754716981132,0.0
2018-01,Caquetá,Movistar,12.250999999999998,6.983324324324325,98.97297297297297,26.54054054054054,0.0
2018-01,Caquetá,Tigo,12.031,7.325,34.0,3.0,0.0
2018-01,Casanare,All Providers Combined,14.201754385964913,4.9491228070175435,58.85263157894737,64.52982456140352,0.0
2018-01,Casanare,Avantel,9.593755555555553,1.5104222222222223,106.24444444444444,111.57777777777778,0.0
2018-01,Casanare,Claro,19.008254054054053,8.303643243243245,60.464864864864865,15.378378378378379,0.0
2018-01,Casanare,Movistar,19.065336363636362,5.15549090909091,33.50909090909091,0.0,0.0
2018-01,Casanare,Tigo,11.682,5.447161434977579,81.57399103139014,131.457399103139,0.0
2018-01,Cauca Department,All Providers Combined,10.24804469273743,5.76536312849162,70.30055865921787,60.46145251396648,0.0
2018-01,Cauca Department,Avantel,10.7,16.002,31.0,2.0,0.0
2018-01,Cauca Department,Claro,12.181112149532712,5.300677570093459,79.75233644859813,47.05140186915888,0.0
2018-01,Cauca Department,Movistar,14.347822727272725,9.557654545454547,45.17727272727273,23.62727272727273,0.0
2018-01,Cauca Department,Tigo,7.104912442396314,4.793557603686638,75.93548387096774,104.92165898617512,0.0
2018-01,Cesar,All Providers Combined,10.151515151515152,6.696078431372549,75.22905525846703,42.33778966131907,0.0
2018-01,Cesar,Avantel,11.711471014492751,6.5047173913043475,68.76086956521739,61.11594202898551,0.0
2018-01,Cesar,Claro,16.17204306220096,6.001660287081339,80.4401913875598,21.636363636363637,0.0
2018-01,Cesar,Movistar,7.770940149625936,6.860708229426434,101.29675810473816,0.0,0.0
2018-01,Cesar,Tigo,8.600419708029197,7.319715328467153,60.67153284671533,61.6021897810219,0.0
