periodo,municipio,departamento,provider,download_speed,upload_speed,latency,jitter,AvgPack
2018-01,Acacías,Meta,All Providers Combined,14.0,4.0,39.0,14.0,0.0
2018-01,Aguachica,Cesar,All Providers Combined,5.235294117647059,1.1176470588235294,92.6470588235294,49.64705882352941,0.0
2018-01,Amagá,Antioquia,All Providers Combined,3.0,1.0,52.0,37.0,0.0
2018-01,Anapoima,Cundinamarca,All Providers Combined,2.0,0.6020408163265306,51.775510204081634,37.95918367346939,0.0
2018-01,Anapoima,Cundinamarca,Movistar,2.539,1.477,39.0,18.0,0.0
2018-01,Ancuya,Narino,All Providers Combined,2.0,0.0,95.0,256.0,0.0
2018-01,Ancuya,Narino,Movistar,0.531,0.451,79.0,216.0,0.0
2018-01,Anserma,Caldas,All Providers Combined,6.0,5.0,87.0,79.0,0.0
2018-01,Anserma,Caldas,Claro,6.167,5.424,87.0,79.0,0.0
2018-01,Apartadó,Antioquia,All Providers Combined,7.425531914893617,2.8191489361702127,63.361702127659576,40.11702127659574,0.0
2018-01,Apía,Risaralda,All Providers Combined,0.0,0.0,146.0,154.0,0.0
2018-01,Apía,Risaralda,Tigo,0.218,0.297,53.0,155.0,0.0
2018-01,Arauca,Arauca,All Providers Combined,14.0,6.0,70.0,11.0,0.0
2018-01,Arauca,Arauca,Movistar,16.56,6.213,70.0,11.0,0.0
2018-01,Armenia,Quindio,All Providers Combined,22.036184210526315,11.501644736842104,56.4983552631579,10.564144736842104,0.0
2018-01,Armenia,Quindio,Claro,19.138023622047243,11.25043307086614,70.18897637795276,7.0,0.0
2018-01,Armenia,Quindio,Movistar,22.635816793893127,15.01902290076336,55.717557251908396,7.145038167938932,0.0
2018-01,Armenia,Quindio,Tigo,27.804730215827338,12.983215827338128,41.510791366906474,12.776978417266188,0.0
2018-01,Barichara,Santander Department,All Providers Combined,2.0,1.3138297872340425,65.7872340425532,29.893617021276597,0.0
2018-01,Barichara,Santander Department,Movistar,2.805961832061069,2.8591984732824427,64.05343511450381,20.213740458015266,0.0
2018-01,Barrancabermeja,Santander Department,All Providers Combined,11.444444444444445,5.535714285714286,57.6468253968254,23.03968253968254,0.0
2018-01,Barrancabermeja,Santander Department,Avantel,8.887208333333334,5.8196666666666665,36.083333333333336,8.541666666666666,0.0
2018-01,Barrancabermeja,Santander Department,Claro,19.99635632183908,6.71322988505747,73.1264367816092,11.816091954022989,0.0
2018-01,Barrancabermeja,Santander Department,Movistar,16.949734939759036,6.500120481927711,55.91566265060241,13.74698795180723,0.0
2018-01,Barrancabermeja,Santander Department,Tigo,8.704090909090908,6.537863636363636,54.90909090909091,36.27272727272727,0.0
2018-01,Barranquilla,Atlantico,All Providers Combined,18.940639269406393,9.317351598173516,51.018264840182646,14.32420091324201,0.0
2018-01,Barranquilla,Atlantico,Avantel,13.265846268656716,6.811719402985073,46.78059701492537,17.288059701492536,0.0
2018-01,Barranquilla,Atlantico,Claro,22.775169741697418,9.698940959409594,63.4529520295203,9.317343173431734,0.0
2018-01,Barranquilla,Atlantico,Movistar,20.032636942675158,8.899843949044588,60.65605095541401,16.971337579617835,0.0
2018-01,Barranquilla,Atlantico,Tigo,18.031334705075448,9.630313443072701,31.849794238683128,19.406721536351167,0.0
2018-01,Bello,Antioquia,All Providers Combined,13.979452054794521,4.866438356164384,38.65239726027397,18.590753424657535,0.0
2018-01,Bello,Antioquia,Avantel,17.695485074626863,5.707970149253731,26.529850746268657,15.298507462686567,0.0
2018-01,Bello,Antioquia,Claro,21.384416666666667,8.080166666666665,54.666666666666664,8.0,0.0
2018-01,Bello,Antioquia,Tigo,11.539250000000001,4.353264925373135,32.08955223880597,26.257462686567163,0.0
2018-01,Bogota,Bogota,All Providers Combined,16.627246883883664,8.008200306144763,30.313645309424885,15.251213645309425,0.0
2018-01,Bogota,Bogota,Avantel,19.396213885846418,7.019667031763417,22.245831812096874,18.50638919313618,0.0
2018-01,Bogota,Bogota,Claro,17.04578008815638,7.8707017056343425,58.74616711383672,10.524243004982752,0.0
2018-01,Bogota,Bogota,Movistar,14.140564787183916,6.9740761740223025,30.666247840427204,15.92115596042092,0.0
2018-01,Bogota,Bogota,Tigo,15.109419895076673,9.741150121065374,27.05225988700565,24.31809927360775,0.0
2018-01,Bucaramanga,Santander Department,All Providers Combined,16.607602697731455,8.232372777437154,55.410790925812385,15.83752299202943,0.0
2018-01,Bucaramanga,Santander Department,Avantel,21.945385869565218,8.957445652173913,26.516304347826086,7.516304347826087,0.0
2018-01,Bucaramanga,Santander Department,Claro,22.586483253588515,9.001253588516745,71.0,7.569377990430622,0.0
2018-01,Bucaramanga,Santander Department,Movistar,15.659855371900827,7.865677685950414,58.38429752066116,15.285123966942148,0.0
2018-01,Bucaramanga,Santander Department,Tigo,15.17710909090909,9.889531818181819,41.17727272727273,23.745454545454546,0.0
2018-01,Buenaventura,Valle del Cauca,All Providers Combined,13.024271844660195,10.024271844660195,48.95145631067961,14.29126213592233,0.0
2018-01,Buenaventura,Valle del Cauca,Movistar,11.148439024390244,11.358,40.09756097560975,10.097560975609756,0.0
2018-01,Buenaventura,Valle del Cauca,Tigo,23.114,14.133,49.0,47.0,0.0
2018-01,Cajicá,Cundinamarca,All Providers Combined,13.289473684210526,5.518796992481203,34.454887218045116,20.19924812030075,0.0
2018-01,Cajicá,Cundinamarca,Avantel,16.74,3.925,19.0,12.0,0.0
2018-01,Cajicá,Cundinamarca,Claro,12.883,5.311,57.0,8.0,0.0
2018-01,Cajicá,Cundinamarca,Movistar,16.136,6.229,33.0,14.0,0.0
