Aggregate Date;municipio;region;connection_type;provider;test_count;performance_sample_count;mean_download_speed_mbps;download_speed;mean_upload_mbps;upload_speed;latency;jitter;mes;año;periodo;sample_count;mean_download_mbps;mean_latency_ms;mean_jitter
2022-12-01;RIOFRIO;Valle del Cauca;All Fixed;All Providers Combined;96;39.0;44.517;17.954;45.673;21.17;19.0;8.0;12;2022;2022-12;;;;
2022-02-01;MOMPOS;Bolivar;All Fixed;All Providers Combined;692;256.0;53.899;17.936;12.197;6.226;28.0;8.0;2;2022;2022-02;;;;
2022-10-01;TENA;Cundinamarca;All Fixed;All Providers Combined;110;57.0;80.69;39.777;68.236;46.423;9.0;6.0;10;2022;2022-10;;;;
2022-06-01;SAN JUANITO;Meta;All Fixed;All Providers Combined;71;22.0;15.945;9.849;12.265;4.486;14.0;13.0;6;2022;2022-06;;;;
2022-10-01;MIRAFLORES;Boyaca;All Fixed;All Providers Combined;103;14.0;51.038;27.54;46.4;19.117;11.0;11.0;10;2022;2022-10;;;;
2022-04-01;FRONTINO;Antioquia;All Fixed;All Providers Combined;37;12.0;21.557;11.191;4.479;1.622;25.0;17.0;4;2022;2022-04;;;;
2022-01-01;TOCAIMA;Cundinamarca;All Fixed;All Providers Combined;238;92.0;61.528;31.198;27.748;19.017;16.0;8.0;1;2022;2022-01;;;;
2022-05-01;YARUMAL;Antioquia;All Fixed;All Providers Combined;416;146.0;73.504;22.539;37.594;15.272;20.0;9.0;5;2022;2022-05;;;;
2022-10-01;SAN ALBERTO;Cesar;All Fixed;All Providers Combined;442;70.0;25.332;14.79;21.046;13.762;13.0;8.0;10;2022;2022-10;;;;
2022-02-01;FRONTINO;Antioquia;All Fixed;All Providers Combined;30;9.0;6.623;5.089;1.02;0.743;29.0;8.0;2;2022;2022-02;;;;
2022-07-01;PACHAVITA;Boyaca;All Fixed;All Providers Combined;127;52.0;24.363;10.778;25.431;11.035;13.0;22.0;7;2022;2022-07;;;;
2022-08-01;EL TABLON DE GOMEZ;Narino;All Fixed;All Providers Combined;156;20.0;11.603;10.901;11.438;9.604;13.0;34.0;8;2022;2022-08;;;;
2022-02-01;EL DOVIO;Valle del Cauca;All Fixed;All Providers Combined;76;19.0;132.562;15.282;89.607;14.049;23.0;18.0;2;2022;2022-02;;;;
2022-03-01;CHIQUIZA;Boyaca;All Fixed;All Providers Combined;508;243.0;73.297;30.551;76.221;28.588;10.0;6.0;3;2022;2022-03;;;;
2022-06-01;SANTA BARBARA;Santander Department;All Fixed;All Providers Combined;93;4.0;7.722;5.698;8.015;7.228;52.0;37.0;6;2022;2022-06;;;;
