Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Inírida, Inírida, Guainía, Colombia;;jul-21;1;1;all;N/A;median;1;7;;;2725;15518;2.73;15.52
All Providers Combined;San José Del Guaviare, San José Del Guaviare, Guaviare, Colombia;;jul-21;934;222;all;N/A;median;222;18;;;8116;6843;8.12;6.84
All Providers Combined;Neiva, Neiva, Huila, Colombia;;jul-21;30026;8719;all;N/A;median;8719;22;;;24622;8695;24.62;8.70
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;jul-21;5105;1526;all;N/A;median;1526;42;;;39188;9423;39.19;9.42
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;jul-21;19873;5454;all;N/A;median;5454;24;;;36646;9434;36.65;9.43
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;jul-21;30463;8478;all;N/A;median;8478;13;;;44889;10215;44.89;10.22
All Providers Combined;Pasto, Pasto, Narino, Colombia;;jul-21;24035;6349;all;N/A;median;6349;26;;;32921;8625;32.92;8.63
All Providers Combined;Cúcuta, Cucuta, North Santander, Colombia;;jul-21;36211;10418;all;N/A;median;10418;30;;;41525;9604;41.53;9.60
All Providers Combined;Mocoa, Mocoa, Putumayo, Colombia;;jul-21;191;49;all;N/A;median;49;31;;;11401;4121;11.40;4.12
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;jul-21;35959;9972;all;N/A;median;9972;21;;;35083;8150;35.08;8.15
All Providers Combined;San Andrés, San Andrés, San Andrés y Providencia, Colombia;;jul-21;871;140;all;N/A;median;140;35;;;3519;2130;3.52;2.13
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;jul-21;89569;25297;all;N/A;median;25297;23;;;53077;10792;53.08;10.79
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;jul-21;7375;2079;all;N/A;median;2079;23;;;30391;7353;30.39;7.35
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;jul-21;33933;9483;all;N/A;median;9483;15;;;42980;10360;42.98;10.36
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;jul-21;172936;49527;all;N/A;median;49527;18;;;43664;10419;43.66;10.42
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;Aug 2021;16406;4890;all;N/A;median;4890;22;;;42821;9901;42.82;9.90
All Providers Combined;Leticia, Leticia, Amazonas, Colombia;;Aug 2021;1;1;all;N/A;median;1;77;;;1774;686;1.77;0.69
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Aug 2021;250814;78431;all;N/A;median;78431;12;;;48521;10512;48.52;10.51
All Providers Combined;Arauca, Arauca, Arauca, Colombia;;Aug 2021;603;225;all;N/A;median;225;55;;;5390;786;5.39;0.79
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Aug 2021;95774;28889;all;N/A;median;28889;19;;;44379;10442;44.38;10.44
All Providers Combined;Bogotá, Bogota, Colombia;;Aug 2021;1092824;318087;all;N/A;median;318087;10;;;59135;10918;59.14;10.92
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Aug 2021;34084;8763;all;N/A;median;8763;16;;;43219;10342;43.22;10.34
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;Aug 2021;17817;4985;all;N/A;median;4985;15;;;43239;9937;43.24;9.94
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;Aug 2021;36062;9267;all;N/A;median;9267;23;;;47888;9968;47.89;9.97
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;Aug 2021;9276;2068;all;N/A;median;2068;26;;;26381;11056;26.38;11.06
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;Aug 2021;7894;2345;all;N/A;median;2345;18;;;38295;8877;38.30;8.88
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;Aug 2021;22792;5950;all;N/A;median;5950;22;;;35136;9663;35.14;9.66
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;Aug 2021;17833;5263;all;N/A;median;5263;30;;;43448;9926;43.45;9.93
All Providers Combined;Quibdo, Quibdó, Chocó, Colombia;;Aug 2021;604;151;all;N/A;median;151;43;;;6691;841;6.69;0.84
All Providers Combined;Montería, Montería, Córdoba, Colombia;;Aug 2021;18317;5454;all;N/A;median;5454;25;;;41078;10414;41.08;10.41
All Providers Combined;Inírida, Inírida, Guainía, Colombia;;Aug 2021;11;4;all;N/A;median;4;22;;;8873;31283;8.87;31.28
All Providers Combined;San José Del Guaviare, San José Del Guaviare, Guaviare, Colombia;;Aug 2021;1133;213;all;N/A;median;213;19;;;8076;8160;8.08;8.16
All Providers Combined;Neiva, Neiva, Huila, Colombia;;Aug 2021;25828;7800;all;N/A;median;7800;22;;;29037;9183;29.04;9.18
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;Aug 2021;4611;1455;all;N/A;median;1455;37;;;36457;9035;36.46;9.04
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;Aug 2021;16078;4938;all;N/A;median;4938;24;;;40278;9876;40.28;9.88
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;Aug 2021;28612;8096;all;N/A;median;8096;13;;;44034;10417;44.03;10.42
All Providers Combined;Pasto, Pasto, Narino, Colombia;;Aug 2021;23370;6138;all;N/A;median;6138;25;;;35188;9265;35.19;9.27
All Providers Combined;Cúcuta, Cucuta, North Santander, Colombia;;Aug 2021;39272;11155;all;N/A;median;11155;28;;;39709;10276;39.71;10.28
All Providers Combined;Mocoa, Mocoa, Putumayo, Colombia;;Aug 2021;108;50;all;N/A;median;50;29;;;18308;6028;18.31;6.03
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;Aug 2021;38128;10690;all;N/A;median;10690;22;;;38244;8566;38.24;8.57
All Providers Combined;San Andrés, San Andrés, San Andrés y Providencia, Colombia;;Aug 2021;632;115;all;N/A;median;115;27;;;3076;1899;3.08;1.90
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;Aug 2021;103844;27568;all;N/A;median;27568;28;;;50720;10958;50.72;10.96
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;Aug 2021;7381;2098;all;N/A;median;2098;22;;;30821;8914;30.82;8.91
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;Aug 2021;30698;9062;all;N/A;median;9062;15;;;44547;10718;44.55;10.72
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Aug 2021;168425;49937;all;N/A;median;49937;19;;;45380;10679;45.38;10.68
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;sep-21;15434;4423;all;N/A;median;4423;23;;;45958;10158;45.96;10.16
All Providers Combined;Leticia, Leticia, Amazonas, Colombia;;sep-21;1;1;all;N/A;median;1;68;;;1048;728;1.05;0.73
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;sep-21;237204;72403;all;N/A;median;72403;11;;;52304;10813;52.30;10.81
All Providers Combined;Arauca, Arauca, Arauca, Colombia;;sep-21;608;222;all;N/A;median;222;57;;;4899;788;4.90;0.79
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;sep-21;88474;24949;all;N/A;median;24949;20;;;43787;10521;43.79;10.52
All Providers Combined;Bogotá, Bogota, Colombia;;sep-21;1039348;292054;all;N/A;median;292054;10;;;63584;10977;63.58;10.98
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;sep-21;29372;7833;all;N/A;median;7833;17;;;45162;10446;45.16;10.45
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;sep-21;15430;4423;all;N/A;median;4423;15;;;45884;10296;45.88;10.30
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;sep-21;32463;8127;all;N/A;median;8127;27;;;50804;10099;50.80;10.10
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;sep-21;6028;1466;all;N/A;median;1466;23;;;26434;11007;26.43;11.01
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;sep-21;7570;2078;all;N/A;median;2078;17;;;42753;9748;42.75;9.75
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;sep-21;21595;5424;all;N/A;median;5424;21;;;41744;10053;41.74;10.05
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;sep-21;15576;4748;all;N/A;median;4748;30;;;44658;10093;44.66;10.09
All Providers Combined;Quibdo, Quibdó, Chocó, Colombia;;sep-21;612;150;all;N/A;median;150;41;;;7347;956;7.35;0.96
All Providers Combined;Montería, Montería, Córdoba, Colombia;;sep-21;18956;4769;all;N/A;median;4769;21;;;40776;10407;40.78;10.41
All Providers Combined;Inírida, Inírida, Guainía, Colombia;;sep-21;1;1;all;N/A;median;1;47;;;2739;788;2.74;0.79
All Providers Combined;San José Del Guaviare, San José Del Guaviare, Guaviare, Colombia;;sep-21;1194;233;all;N/A;median;233;18;;;6482;7510;6.48;7.51
All Providers Combined;Neiva, Neiva, Huila, Colombia;;sep-21;19617;6033;all;N/A;median;6033;22;;;33030;9938;33.03;9.94
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;sep-21;4140;1322;all;N/A;median;1322;35;;;37372;9760;37.37;9.76
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;sep-21;14559;4480;all;N/A;median;4480;23;;;42259;10154;42.26;10.15
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;sep-21;27551;7722;all;N/A;median;7722;13;;;45024;10486;45.02;10.49
All Providers Combined;Pasto, Pasto, Narino, Colombia;;sep-21;17835;5130;all;N/A;median;5130;24;;;38153;9479;38.15;9.48
All Providers Combined;Cúcuta, Cucuta, North Santander, Colombia;;sep-21;35096;10188;all;N/A;median;10188;26;;;44586;10490;44.59;10.49
All Providers Combined;Mocoa, Mocoa, Putumayo, Colombia;;sep-21;104;40;all;N/A;median;40;28;;;17460;3719;17.46;3.72
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;sep-21;39709;10726;all;N/A;median;10726;22;;;42507;8860;42.51;8.86
All Providers Combined;San Andrés, San Andrés, San Andrés y Providencia, Colombia;;sep-21;393;69;all;N/A;median;69;8;;;3693;2278;3.69;2.28
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;sep-21;79049;22109;all;N/A;median;22109;28;;;58924;11058;58.92;11.06
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;sep-21;7170;2107;all;N/A;median;2107;23;;;32499;9149;32.50;9.15
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;sep-21;31629;8433;all;N/A;median;8433;15;;;47301;10875;47.30;10.88
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;sep-21;151866;44165;all;N/A;median;44165;19;;;48364;10876;48.36;10.88
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;oct-21;15143;4636;all;N/A;median;4636;21;;;49342;10449;49.34;10.45
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;oct-21;235526;74278;all;N/A;median;74278;10;;;54539;10971;54.54;10.97
All Providers Combined;Arauca, Arauca, Arauca, Colombia;;oct-21;578;194;all;N/A;median;194;56;;;5219;803;5.22;0.80
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;oct-21;69356;21499;all;N/A;median;21499;19;;;46053;10813;46.05;10.81
All Providers Combined;Bogotá, Bogota, Colombia;;oct-21;949445;288502;all;N/A;median;288502;9;;;66209;11089;66.21;11.09
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;oct-21;26796;8098;all;N/A;median;8098;15;;;49411;10809;49.41;10.81
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;oct-21;14851;4667;all;N/A;median;4667;15;;;42620;10533;42.62;10.53
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;oct-21;38682;10113;all;N/A;median;10113;32;;;42815;10228;42.82;10.23
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;oct-21;6770;1624;all;N/A;median;1624;23;;;30290;11070;30.29;11.07
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;oct-21;6746;2053;all;N/A;median;2053;18;;;44774;9878;44.77;9.88
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;oct-21;17708;5225;all;N/A;median;5225;21;;;40896;10278;40.90;10.28
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;oct-21;14970;4720;all;N/A;median;4720;29;;;49231;10388;49.23;10.39
All Providers Combined;Quibdo, Quibdó, Chocó, Colombia;;oct-21;405;124;all;N/A;median;124;45;;;6806;905;6.81;0.91
All Providers Combined;Montería, Montería, Córdoba, Colombia;;oct-21;16447;4441;all;N/A;median;4441;20;;;42008;10512;42.01;10.51
All Providers Combined;Inírida, Inírida, Guainía, Colombia;;oct-21;2;2;all;N/A;median;2;40;;;69485;68719;69.49;68.72
All Providers Combined;San José Del Guaviare, San José Del Guaviare, Guaviare, Colombia;;oct-21;741;184;all;N/A;median;184;19;;;6691;5906;6.69;5.91
All Providers Combined;Neiva, Neiva, Huila, Colombia;;oct-21;16031;5354;all;N/A;median;5354;21;;;37832;10460;37.83;10.46
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;oct-21;3794;1260;all;N/A;median;1260;35;;;43756;10419;43.76;10.42
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;oct-21;19500;5826;all;N/A;median;5826;27;;;37636;10279;37.64;10.28
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;oct-21;28336;8168;all;N/A;median;8168;15;;;50404;10870;50.40;10.87
All Providers Combined;Pasto, Pasto, Narino, Colombia;;oct-21;16718;4986;all;N/A;median;4986;23;;;39337;10178;39.34;10.18
All Providers Combined;Cúcuta, Cucuta, North Santander, Colombia;;oct-21;33003;9759;all;N/A;median;9759;25;;;46505;10538;46.51;10.54
All Providers Combined;Mocoa, Mocoa, Putumayo, Colombia;;oct-21;112;41;all;N/A;median;41;28;;;13636;8527;13.64;8.53
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;oct-21;31249;8948;all;N/A;median;8948;21;;;44227;9919;44.23;9.92
All Providers Combined;San Andrés, San Andrés, San Andrés y Providencia, Colombia;;oct-21;341;94;all;N/A;median;94;18;;;3513;1866;3.51;1.87
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;oct-21;70129;21731;all;N/A;median;21731;28;;;62069;12338;62.07;12.34
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;oct-21;6267;2071;all;N/A;median;2071;19;;;37150;9011;37.15;9.01
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;oct-21;28548;8439;all;N/A;median;8439;14;;;47550;10960;47.55;10.96
