Provider;Location;Aggregate Date;Test Count;Sample Count;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;MOCOA;2022-02;191.0;52.0;median;52.0;27.0;18006.0;16218.0;18.01;16.22
All Providers Combined;PEREIRA;2022-02;29263.0;8497.0;median;8497.0;22.0;53534.0;16951.0;53.53;16.95
All Providers Combined;SAN ANDRES;2022-02;306.0;84.0;median;84.0;6.0;3947.0;3376.0;3.95;3.38
All Providers Combined;BUCARAMANGA;2022-02;65866.0;20155.0;median;20155.0;27.0;68751.0;21300.0;68.75;21.3
All Providers Combined;SINCELEJO;2022-02;5772.0;1849.0;median;1849.0;17.0;43999.0;10564.0;44.0;10.56
All Providers Combined;IBAGUE;2022-02;25878.0;7490.0;median;7490.0;15.0;61992.0;24293.0;61.99;24.29
All Providers Combined;CALI;2022-02;140271.0;41837.0;median;41837.0;18.0;64304.0;21793.0;64.3;21.79
All Providers Combined;ARMENIA;2022-03;8865.0;2524.0;median;2524.0;22.0;62900.0;15769.0;62.9;15.77
All Providers Combined;LETICIA;2022-03;3.0;1.0;median;1.0;46.0;2832.0;933.0;2.83;0.93
All Providers Combined;MEDELLIN;2022-03;259312.0;79206.0;median;79206.0;11.0;66154.0;19246.0;66.15;19.25
All Providers Combined;ARAUCA;2022-03;1096.0;384.0;median;384.0;21.0;10874.0;4998.0;10.87;5.0
All Providers Combined;BARRANQUILLA;2022-03;66771.0;21059.0;median;21059.0;15.0;62341.0;21621.0;62.34;21.62
All Providers Combined;BOGOTA;2022-03;953680.0;282485.0;median;282485.0;8.0;87395.0;30238.0;87.4;30.24
All Providers Combined;CARTAGENA;2022-03;26383.0;7705.0;median;7705.0;12.0;70174.0;20175.0;70.17;20.18
All Providers Combined;TUNJA;2022-03;14524.0;4410.0;median;4410.0;15.0;53734.0;19568.0;53.73;19.57
All Providers Combined;MANIZALES;2022-03;32013.0;8534.0;median;8534.0;29.0;59104.0;13749.0;59.1;13.75
All Providers Combined;FLORENCIA;2022-03;4774.0;1235.0;median;1235.0;22.0;40681.0;22292.0;40.68;22.29
All Providers Combined;YOPAL;2022-03;6005.0;1882.0;median;1882.0;17.0;50063.0;18721.0;50.06;18.72
All Providers Combined;POPAYAN;2022-03;19755.0;5006.0;median;5006.0;20.0;48871.0;18826.0;48.87;18.83
All Providers Combined;VALLEDUPAR;2022-03;14643.0;4156.0;median;4156.0;27.0;65643.0;19423.0;65.64;19.42
All Providers Combined;QUIBDO;2022-03;537.0;128.0;median;128.0;38.0;6957.0;2801.0;6.96;2.8
All Providers Combined;MONTERIA;2022-03;13275.0;3751.0;median;3751.0;17.0;59270.0;19499.0;59.27;19.5
All Providers Combined;SAN JOSE DEL GUAVIARE;2022-03;756.0;205.0;median;205.0;15.0;8170.0;9509.0;8.17;9.51
All Providers Combined;NEIVA;2022-03;17857.0;5178.0;median;5178.0;21.0;47485.0;19591.0;47.49;19.59
All Providers Combined;RIOHACHA;2022-03;3533.0;1169.0;median;1169.0;34.0;53495.0;20078.0;53.5;20.08
All Providers Combined;SANTA MARTA;2022-03;14885.0;4648.0;median;4648.0;22.0;57623.0;19246.0;57.62;19.25
All Providers Combined;VILLAVICENCIO;2022-03;27536.0;7946.0;median;7946.0;14.0;66291.0;22044.0;66.29;22.04
All Providers Combined;PASTO;2022-03;15936.0;4461.0;median;4461.0;25.0;49389.0;19190.0;49.39;19.19
All Providers Combined;CUCUTA;2022-03;26910.0;8040.0;median;8040.0;23.0;54199.0;19767.0;54.2;19.77
All Providers Combined;MOCOA;2022-03;196.0;53.0;median;53.0;31.0;16042.0;13425.0;16.04;13.43
All Providers Combined;PEREIRA;2022-03;26797.0;7119.0;median;7119.0;23.0;56581.0;19517.0;56.58;19.52
All Providers Combined;SAN ANDRES;2022-03;652.0;100.0;median;100.0;7.0;9732.0;4843.0;9.73;4.84
All Providers Combined;BUCARAMANGA;2022-03;64299.0;20270.0;median;20270.0;26.0;64713.0;21509.0;64.71;21.51
All Providers Combined;SINCELEJO;2022-03;4342.0;1428.0;median;1428.0;16.0;52562.0;13551.0;52.56;13.55
All Providers Combined;IBAGUE;2022-03;29581.0;8263.0;median;8263.0;16.0;58232.0;25971.0;58.23;25.97
All Providers Combined;CALI;2022-03;150653.0;43035.0;median;43035.0;18.0;66282.0;22046.0;66.28;22.05
All Providers Combined;ARMENIA;2022-04;9673.0;2444.0;median;2444.0;22.0;70472.0;18067.0;70.47;18.07
All Providers Combined;LETICIA;2022-04;15.0;7.0;median;7.0;187.0;1078.0;696.0;1.08;0.7
All Providers Combined;MEDELLIN;2022-04;256977.0;80028.0;median;80028.0;11.0;70015.0;20421.0;70.02;20.42
All Providers Combined;ARAUCA;2022-04;834.0;337.0;median;337.0;17.0;10116.0;4840.0;10.12;4.84
All Providers Combined;BARRANQUILLA;2022-04;71466.0;21660.0;median;21660.0;18.0;61743.0;21902.0;61.74;21.9
All Providers Combined;BOGOTA;2022-04;942982.0;283307.0;median;283307.0;8.0;89360.0;31077.0;89.36;31.08
All Providers Combined;CARTAGENA;2022-04;23615.0;6822.0;median;6822.0;13.0;74982.0;21447.0;74.98;21.45
All Providers Combined;TUNJA;2022-04;14257.0;4440.0;median;4440.0;15.0;54962.0;21429.0;54.96;21.43
All Providers Combined;MANIZALES;2022-04;26910.0;7343.0;median;7343.0;29.0;70306.0;15131.0;70.31;15.13
All Providers Combined;FLORENCIA;2022-04;5222.0;1193.0;median;1193.0;22.0;21220.0;18182.0;21.22;18.18
All Providers Combined;YOPAL;2022-04;6582.0;1875.0;median;1875.0;18.0;53618.0;21496.0;53.62;21.5
All Providers Combined;POPAYAN;2022-04;20482.0;5328.0;median;5328.0;22.0;54685.0;18463.0;54.69;18.46
All Providers Combined;VALLEDUPAR;2022-04;15214.0;4162.0;median;4162.0;30.0;65673.0;21207.0;65.67;21.21
All Providers Combined;QUIBDO;2022-04;425.0;118.0;median;118.0;38.0;6754.0;2550.0;6.75;2.55
All Providers Combined;MONTERIA;2022-04;11247.0;3435.0;median;3435.0;17.0;54999.0;19522.0;55.0;19.52
