periodo,departamento,provider,download_speed,upload_speed,latency,jitter
2018-01,Antioquia,All Providers Combined,10.14921428038109,3.6740840700255855,22.281687722127646,10.27341237842089
2018-01,Antioquia,Claro,10.863678993534027,3.175794864320543,41.97103561585754,13.745574517701929
2018-01,Antioquia,Colombiatel,6.969735050597976,6.6469714811407545,66.33210671573137,32.111315547378105
2018-01,Antioquia,DIRECTV,5.738255008347245,1.849700751252087,36.13355592654424,16.10016694490818
2018-01,Antioquia,EMCALI,4.8396567164179105,0.8909850746268656,33.985074626865675,7.0
2018-01,Antioquia,ETB,10.128384879725086,6.91798969072165,31.343642611683848,21.47422680412371
2018-01,Antioquia,HV,6.590127894156561,3.6896571113561194,22.585446527012127,31.808158765159867
2018-01,Antioquia,Mediacommerce,6.507016823495865,6.006197889934418,43.764185913886514,57.98716852010265
2018-01,Antioquia,Movistar,7.482866019417476,2.358277669902913,44.88932038834952,14.611650485436893
2018-01,Antioquia,Telebucaramanga,17.406,12.918,33.0,13.0
2018-01,Antioquia,Tigo,10.141941346762184,3.785359885352028,17.00316975440794,9.484483540922424
2018-01,Antioquia,UFINET,13.811305084745761,15.449966101694915,40.559322033898304,7.47457627118644
2018-01,Atlantico,All Providers Combined,9.895252550205509,3.0223038311646824,18.794237280916583,11.323402261643631
2018-01,Atlantico,Claro,11.27869632578872,3.3019330505907303,16.26515774440646,10.664950015146925
2018-01,Atlantico,DIRECTV,3.9056554536187567,1.164605504587156,99.70642201834862,16.5158002038736
2018-01,Atlantico,ETB,6.824591133004926,8.783453201970444,88.58128078817734,35.039408866995075
2018-01,Atlantico,Metrotel,6.14381795150199,2.6718190372783206,67.14133188563156,37.48787549764749
2018-01,Atlantico,Movistar,5.9026022675736955,1.0341750566893424,67.66712018140589,28.92517006802721
2018-01,Atlantico,Tigo,10.958387619191766,3.157494324201604,10.968820947479946,6.8489480853640075
2018-01,Bogota,All Providers Combined,13.239495166110038,5.839110711208573,17.17115284313415,11.618588071890246
2018-01,Bogota,Bansat,2.683,0.9730000000000001,744.0,37.0
2018-01,Bogota,COLDECON,3.796375213675214,4.064445726495727,86.0,79.18675213675213
2018-01,Bogota,CONECTAMOS SOLUCIONES saS,12.897,17.071,41.0,49.0
2018-01,Bogota,Claro,10.81897917333435,2.9594185035220053,15.428665807330587,12.289241954001051
2018-01,Bogota,Comsat Argentina sA,11.209,9.343,49.0,14.0
2018-01,Bogota,DIRECTV,4.255852253999031,1.188755016965584,87.31517207949588,30.26068831798352
2018-01,Bogota,ETB,20.962991577707278,12.522018746060125,10.887058604689615,7.165293953517211
2018-01,Bogota,GlobeNet,13.291,14.966000000000001,94.0,54.0
2018-01,Bogota,HV,4.050041546688606,1.5755076100370218,19.008638420403127,31.431098313451255
2018-01,Bogota,HughesNet,17.266575645756458,2.545630996309963,734.8450184501845,50.75645756457565
2018-01,Bogota,IMS,9.67217222027359,6.327612416695897,26.509645738337426,32.6580147316731
2018-01,Bogota,IP Technologies,10.300845654993514,8.226555123216603,32.69909208819715,31.946822308690013
2018-01,Bogota,Internet Inalámbrico,3.942,2.302,7.0,6.0
2018-01,Bogota,Mediacommerce,24.916,19.855,20.0,6.0
2018-01,Bogota,Movistar,7.835477692690204,1.6488389060169069,30.01666832421681,12.688891098955743
2018-01,Bogota,Ois Telecomunicaciones SAS,8.349,8.951,30.0,17.0
2018-01,Bogota,Tigo,10.880681543046048,4.683012990641151,13.093076314196582,7.96659216836616
2018-01,Bogota,UFINET,12.47992601726264,9.95063255240444,55.1861898890259,16.372379778051787
2018-01,Bogota,"http://www,cablebellotv,co/,1143",8.64,1.118,14.0,0.0
2018-01,Bogota,"http://www,cablebellotv,co/,565",10.036,1.383,9.0,0.0
2018-01,Bolivar,All Providers Combined,9.684311924608112,3.2687182756904702,26.032657377457078,12.709815874595671
2018-01,Bolivar,Cablemag,2.642,1.926,58.0,52.0
2018-01,Bolivar,Claro,10.214693362313994,2.927090285905367,16.20230730647049,12.462631666945327
2018-01,Bolivar,DIRECTV,4.156395886889461,1.3736940874035988,99.33676092544987,18.822622107969153
2018-01,Bolivar,Movistar,12.463347345434695,5.926116418725263,65.1650061416678,16.276375051180565
2018-01,Bolivar,Tigo,8.565893349414196,2.2575935561681604,17.368194348725016,10.100447966919367
2018-01,Boyaca,All Providers Combined,6.766569219143577,2.5465429219143583,29.463879093198994,27.685390428211587
2018-01,Boyaca,Claro,7.346744589774079,2.1166485136741975,22.618311533888228,23.112009512485137
2018-01,Boyaca,DIRECTV,4.995166666666667,1.4000833333333331,24.166666666666668,16.0
2018-01,Boyaca,ETB,9.084352941176471,10.186823529411765,32.94117647058823,39.470588235294116
2018-01,Boyaca,IMS,10.038,3.8879999999999995,44.0,117.0
2018-01,Boyaca,Mediacommerce,5.882175777063235,5.773090032154341,30.310825294748124,42.67363344051447
2018-01,Boyaca,Movistar,6.301004756619629,2.1357415570001583,39.00174409386396,31.54288885365467
2018-01,Boyaca,Redsi,4.035,2.502,40.0,50.0
2018-01,Boyaca,Tigo,7.110390572390573,1.714578002244669,14.342312008978675,5.179573512906846
2018-01,Caldas,All Providers Combined,8.373375910487054,2.495369328652918,33.264282580078984,15.485870996050899
2018-01,Caldas,CADCOM,7.527345733041575,7.175089715536105,32.925601750547045,35.37855579868709
2018-01,Caldas,Claro,8.807736441966549,2.119240243284339,44.48745565129245,13.808160162189559
2018-01,Caldas,Colombiatel,4.008,3.3329999999999997,8.0,7.0
2018-01,Caldas,DIRECTV,5.62067944250871,1.67606968641115,24.153310104529616,11.139372822299652
